# x y rho ux uy
0 0 1.037321 0.010896 -0.002479
0 1 1.044441 0.061020 -0.004974
0 2 1.040197 0.079569 -0.004958
0 3 1.036008 0.082567 -0.009525
0 4 1.032474 0.084218 -0.014415
0 5 1.029496 0.085319 -0.018878
0 6 1.026947 0.086138 -0.022771
0 7 1.024736 0.086798 -0.026109
0 8 1.022795 0.087366 -0.028952
0 9 1.021076 0.087875 -0.031366
0 10 1.019543 0.088345 -0.033409
0 11 1.018167 0.088786 -0.035133
0 12 1.016925 0.089206 -0.036581
0 13 1.015799 0.089608 -0.037791
0 14 1.014773 0.089995 -0.038792
0 15 1.013835 0.090368 -0.039609
0 16 1.012975 0.090728 -0.040261
0 17 1.012183 0.091076 -0.040768
0 18 1.011452 0.091414 -0.041142
0 19 1.010777 0.091740 -0.041396
0 20 1.010151 0.092056 -0.041541
0 21 1.009570 0.092363 -0.041584
0 22 1.009031 0.092660 -0.041533
0 23 1.008529 0.092948 -0.041396
0 24 1.008063 0.093227 -0.041177
0 25 1.007629 0.093497 -0.040883
0 26 1.007224 0.093759 -0.040517
0 27 1.006848 0.094013 -0.040084
0 28 1.006497 0.094259 -0.039588
0 29 1.006171 0.094497 -0.039033
0 30 1.005867 0.094727 -0.038421
0 31 1.005585 0.094950 -0.037755
0 32 1.005322 0.095166 -0.037039
0 33 1.005078 0.095374 -0.036276
0 34 1.004852 0.095575 -0.035467
0 35 1.004641 0.095768 -0.034616
0 36 1.004447 0.095955 -0.033724
0 37 1.004266 0.096134 -0.032794
0 38 1.004100 0.096307 -0.031827
0 39 1.003945 0.096473 -0.030827
0 40 1.003803 0.096631 -0.029794
0 41 1.003672 0.096783 -0.028731
0 42 1.003551 0.096928 -0.027639
0 43 1.003440 0.097067 -0.026521
0 44 1.003339 0.097198 -0.025377
0 45 1.003245 0.097323 -0.024209
0 46 1.003160 0.097441 -0.023019
0 47 1.003082 0.097553 -0.021809
0 48 1.003012 0.097657 -0.020579
0 49 1.002947 0.097756 -0.019332
0 50 1.002889 0.097847 -0.018068
0 51 1.002837 0.097932 -0.016788
0 52 1.002790 0.098010 -0.015495
0 53 1.002748 0.098082 -0.014189
0 54 1.002711 0.098147 -0.012872
0 55 1.002678 0.098206 -0.011544
0 56 1.002650 0.098258 -0.010207
0 57 1.002625 0.098304 -0.008862
0 58 1.002605 0.098343 -0.007511
0 59 1.002588 0.098375 -0.006153
0 60 1.002574 0.098401 -0.004790
0 61 1.002565 0.098421 -0.003424
0 62 1.002558 0.098434 -0.002056
0 63 1.002555 0.098440 -0.000685
0 64 1.002555 0.098440 0.000685
0 65 1.002558 0.098434 0.002056
0 66 1.002565 0.098421 0.003424
0 67 1.002574 0.098401 0.004790
0 68 1.002588 0.098375 0.006153
0 69 1.002605 0.098343 0.007511
0 70 1.002625 0.098304 0.008862
0 71 1.002650 0.098258 0.010207
0 72 1.002678 0.098206 0.011544
0 73 1.002711 0.098147 0.012872
0 74 1.002748 0.098082 0.014189
0 75 1.002790 0.098010 0.015495
0 76 1.002837 0.097932 0.016788
0 77 1.002889 0.097847 0.018068
0 78 1.002947 0.097756 0.019332
0 79 1.003012 0.097657 0.020579
0 80 1.003082 0.097553 0.021809
0 81 1.003160 0.097441 0.023019
0 82 1.003245 0.097323 0.024209
0 83 1.003339 0.097198 0.025377
0 84 1.003440 0.097067 0.026521
0 85 1.003551 0.096928 0.027639
0 86 1.003672 0.096783 0.028731
0 87 1.003803 0.096631 0.029794
0 88 1.003945 0.096473 0.030827
0 89 1.004100 0.096307 0.031827
